"MaxRL","Q2.5","Q50","Q97.5"
0,-0.67496546536662,-0.618951451683383,0.264108099331835
5,-0.677252339793037,-0.624737696790524,-0.203685098416866
10,-0.695900921891389,-0.631994243245085,-0.385786778559093
15,-0.75800338866984,-0.637295946531971,-0.509621893283381
20,-0.826399778009738,-0.642643778666656,-0.568884956992539
25,-0.890680833821195,-0.648275047887297,-0.587364964070281
30,-0.927590840851866,-0.652828594624022,-0.596766080703828
35,-0.956705416183316,-0.656459473103576,-0.60097495874906
40,-0.983168689336923,-0.659883546966231,-0.603262839792319
45,-0.988997126026059,-0.6632340689949,-0.605481088201102
50,-0.99392461043629,-0.665988945571768,-0.607703580044372
55,-0.995846266124254,-0.669159181841791,-0.609832224064173
60,-0.996105174458211,-0.67243394092457,-0.611854882604849
65,-0.996269215887324,-0.676083574022381,-0.613849012363564
70,-0.996381188043164,-0.679962250537291,-0.616443269048793
75,-0.996455983058767,-0.684231651585637,-0.619391819331282
80,-0.996505927922653,-0.688605420788266,-0.622087473692437
85,-0.996541277789868,-0.69458115464089,-0.624344640669766
90,-0.99702548711206,-0.700699809599419,-0.626836598030178
95,-0.997522378180611,-0.70688675619051,-0.630240333105841
100,-0.997814157172738,-0.714425837136444,-0.635717069105056
105,-0.998100611690994,-0.721734027676296,-0.641433002615373
110,-0.998518099179299,-0.730955157017373,-0.649241686246562
115,-0.998694648240667,-0.741855044637904,-0.659484935477744
120,-0.998759822633633,-0.757068633314381,-0.671383581615077
125,-0.998785410040387,-0.775543789862843,-0.685725701116243
130,-0.998824508527501,-0.79826864335834,-0.70611826413364
135,-0.998917233154518,-0.824774719109161,-0.734528876868617
140,-0.999085243814513,-0.855583188074223,-0.774677270379997
145,-0.999250053550916,-0.888098050412834,-0.82036419632813
150,-0.999355147571311,-0.921151632049635,-0.86645809011524
155,-0.999474906059517,-0.949587463649266,-0.900661090641847
160,-0.999913754096564,-0.972400237057079,-0.931099509937114
165,-0.999976437350137,-0.986115382548491,-0.952650177200005
170,-0.999995001290337,-0.993675994438983,-0.964363241860705
175,-0.999999992899469,-0.997212124310586,-0.973855937939134
180,-0.999999999946383,-0.998953617672413,-0.979133217333241
185,-0.999999999999968,-0.999619508236423,-0.984335526928852
190,-0.99999999999999,-0.999875177334162,-0.988185127516456
195,-0.999999999999992,-0.999959821327799,-0.991035504442187
200,-0.999999999999993,-0.999986237029266,-0.993099639156881
205,-0.999999999999994,-0.999995071499195,-0.99432967405902
210,-0.999999999999994,-0.999998130612067,-0.995397064374047
215,-0.999999999999995,-0.99999926357262,-0.996214052684314
220,-0.999999999999995,-0.999999753033775,-0.996855014225288
225,-0.999999999999995,-0.999999923182908,-0.997407900841743
230,-0.999999999999996,-0.999999973324504,-0.997873440705379
235,-0.999999999999996,-0.999999991086561,-0.998149950207912
240,-0.999999999999996,-0.999999996957769,-0.998438175754917
245,-0.999999999999996,-0.999999998928135,-0.998665599327707
250,-0.999999999999996,-0.999999999634337,-0.998819368348108
