"MaxRL","Q2.5","Q50","Q97.5"
0,0.000321888278823686,0.0280392304951519,2.1720495451226
5,7.61687948553151e-05,0.0155558786847042,1.42664104523947
10,-0.125249995945947,0.00516741640670378,0.776558405239364
15,-0.293922893565644,0.00100594162681751,0.370025033258802
20,-0.46382978820923,-0.00161885885238123,0.123168845253805
25,-0.676249398292415,-0.00722216501655904,0.0367085121919855
30,-0.78249582427837,-0.0173774707823688,-1.42591023394151e-05
35,-0.879619168132558,-0.0280374483126389,-0.000211401939889717
40,-0.952169584885094,-0.0365669116777985,-0.000295849419225106
45,-0.96872718091739,-0.047175040297274,-0.000439238419219706
50,-0.982216141642357,-0.0579604313247897,-0.000650331151480108
55,-0.989366061975149,-0.0675063424699956,-0.000870400301737827
60,-0.990062548930028,-0.0799319324381701,-0.00127057209335837
65,-0.99048038330431,-0.0933006031518744,-0.00189510185343292
70,-0.990766095897693,-0.107508308773656,-0.00344126236316238
75,-0.990956945825694,-0.123863647335817,-0.00513950374375164
80,-0.991084387121077,-0.140033985502516,-0.00670472142823786
85,-0.991174587244153,-0.156862217288932,-0.00963367445054447
90,-0.991277019763633,-0.174393711821044,-0.0116723250430469
95,-0.992731121887392,-0.19430039213709,-0.0162651644898237
100,-0.993587146771015,-0.214487327864987,-0.0224295973200698
105,-0.994744501756823,-0.234790707138541,-0.0287527878430856
110,-0.995899665632968,-0.267191545277971,-0.0421897850893251
115,-0.996388615110154,-0.295531860486422,-0.0676293334285658
120,-0.996568926549251,-0.336471810411292,-0.0999665371370579
125,-0.996639716653654,-0.388463847119384,-0.130486412447023
130,-0.996747482682032,-0.448367400343509,-0.186839253110065
135,-0.997004046393663,-0.516559010137148,-0.267732693268505
140,-0.997470568619933,-0.594946412172736,-0.378204400084825
145,-0.997958966111687,-0.690742108554358,-0.505369086006529
150,-0.998244973744315,-0.780891062886016,-0.622498540596309
155,-0.998570907681743,-0.860094445289801,-0.721685707601562
160,-0.999761362544016,-0.924659628406871,-0.813367792570397
165,-0.999931434362969,-0.961995371133017,-0.868546240694774
170,-0.999986168857771,-0.982083913943421,-0.902068005374287
175,-0.99999998032622,-0.991947669779487,-0.929761701837086
180,-0.999999999837097,-0.9970376538395,-0.943675475235008
185,-0.999999999999909,-0.998944752978182,-0.958692912825681
190,-0.999999999999971,-0.999648471130065,-0.966831131235122
195,-0.999999999999979,-0.999889578863581,-0.974898904142823
200,-0.999999999999982,-0.999960925774045,-0.980816932110778
205,-0.999999999999984,-0.999984838556018,-0.984978059375129
210,-0.999999999999985,-0.999994686225323,-0.986784672092055
215,-0.999999999999986,-0.99999793814388,-0.989526861729276
220,-0.999999999999987,-0.99999929896185,-0.991783157565069
225,-0.999999999999987,-0.999999780351324,-0.992811242326393
230,-0.999999999999988,-0.999999926659046,-0.994353196989161
235,-0.999999999999988,-0.999999975153304,-0.995268385153822
240,-0.999999999999989,-0.99999999153867,-0.99591375677373
245,-0.999999999999989,-0.999999996918417,-0.99638316634607
250,-0.999999999999989,-0.999999998976751,-0.996798653013565
